Name,F12,Category
Glycine,7.5,Amino acids
L-Alanine,8.9,Amino acids
L-Arginine hydrochloride,211,Amino acids
L-Asparagine-H2O,15.01,Amino acids
L-Aspartic acid,13.3,Amino acids
L-Cysteine hydrochloride-H2O,35.12,Amino acids
L-Glutamic Acid,14.7,Amino acids
L-Glutamine,146,Amino acids
L-Histidine hydrochloride-H2O,21,Amino acids
L-Isoleucine,4,Amino acids
L-Leucine,13.1,Amino acids
L-Lysine hydrochloride,36.5,Amino acids
L-Methionine,4.5,Amino acids
L-Phenylalanine,5,Amino acids
L-Proline,34.5,Amino acids
L-Serine,10.5,Amino acids
L-Threonine,11.9,Amino acids
L-Tryptophan,2.04,Amino acids
L-Tyrosine disodium salt dihydrate,7.81,Amino acids
L-Valine,11.7,Amino acids
Biotin,0.0073,Vitamins
Choline chloride,14,Vitamins
D-Calcium pantothenate,0.5,Vitamins
Folic Acid,1.3,Vitamins
Niacinamide,0.036,Vitamins
Pyridoxine hydrochloride,0.06,Vitamins
Riboflavin,0.037,Vitamins
Thiamine hydrochloride,0.3,Vitamins
Vitamin B12,1.4,Vitamins
i-Inositol,18,Vitamins
Calcium Chloride (CaCl2) (anhyd.),33.22,Inorganic salts
Cupric sulfate (CuSO4-5H2O),0.0025,Trace elements
Ferric sulfate (FeSO4-7H2O),0.834,Inorganic salts
Magnesium Chloride (anhydrous),57.22,Inorganic salts
Potassium Chloride (KCl),223.6,Inorganic salts
Sodium Bicarbonate (NaHCO3),1176,Inorganic salts
Sodium Chloride (NaCl),7599,Inorganic salts
Sodium Phosphate dibasic (Na2HPO4) anhydrous,142,Inorganic salts
Zinc sulfate (ZnSO4-7H2O),0.863,Inorganic salts
D-Glucose (Dextrose),1802,Carbohydrates
Hypoxanthine Na,4.77,Other
Linoleic Acid,0.084,Other
Lipoic Acid,0.21,Other
Phenol Red,1.2,Other
Putrescine 2HCl,0.161,Other
Sodium Pyruvate,110,Other
Thymidine,0.7,Other
